id,name,rank,difficulty
1,Arsenal,8,5
2,Aston Villa,17,2
3,Bournemouth,18,2
4,Brighton,15,3
5,Burnley,10,4
6,Chelsea,4,6
7,Crystal Palace,14,3
8,Everton,12,4
9,Leicester,5,5
10,Liverpool,1,6
11,Man City,2,6
12,Man Utd,3,6
13,Newcastle,13,3
14,Norwich,20,2
15,Sheffield Utd,9,4
16,Southampton,11,4
17,Spurs,6,5
18,Watford,19,2
19,West Ham,16,3
20,Wolves,7,5
