id,name,rank,difficulty
1,Arsenal,6,5
2,Bournemouth,12,4
3,Brighton,15,3
4,Burnley,7,5
5,Chelsea,5,5
6,Crystal Palace,11,4
7,Everton,8,5
8,Huddersfield,16,3
9,Leicester,9,4
10,Liverpool,4,6
11,Man City,1,6
12,Man Utd,2,6
13,Newcastle,10,4
14,Southampton,17,2
15,Stoke City,18,2
16,Swansea City,19,2
17,Spurs,3,6
18,Watford,14,3
19,West Bromwich,20,2
20,West Ham,13,3
