id,name,rank,difficulty
1,Arsenal,5,5
2,Bournemouth,9,4
3,Burnley,16,3
4,Chelsea,1,6
5,Crystal Palace,14,3
6,Everton,7,5
7,Hull City,18,2
8,Leicester,12,4
9,Liverpool,4,6
10,Man City,3,6
11,Man Utd,6,5
12,Middlesbrough,19,2
13,Southampton,8,5
14,Stoke City,13,3
15,Sunderland,20,2
16,Swansea City,15,3
17,Spurs,2,6
18,Watford,17,2
19,West Brom,10,4
20,West Ham,11,4
