id,name,rank,difficulty
1,Arsenal,5,5
2,Bournemouth,14,3
3,Brighton,17,2
4,Burnley,15,3
5,Cardiff,18,2
6,Chelsea,3,6
7,Crystal Palace,12,4
8,Everton,8,5
9,Fulham,19,2
10,Huddersfield,20,2
11,Leicester,9,4
12,Liverpool,2,6
13,Man City,1,6
14,Man Utd,6,5
15,Newcastle,13,3
16,Southampton,16,3
17,Spurs,4,6
18,Watford,11,4
19,West Ham,10,4
20,Wolves,7,5
